Country Name,Population,Continent,Total Covid Cases,Total Active Covid Cases,Total Recovered Covid Cases,Total Deaths,Total Critical Cases
Greenland,56952,North-America,11971,9189,2761,21,4
St-Barth,9933,North-America,4575,0,0,6,0
Tanzania,62817445,Africa,33872,0,0,803,7
Marshall-Islands,59916,Oceania,17,3,14,0,0
Falkland-Islands,3667,South-America,197,0,0,0,0
Saint-Helena,6107,Africa,2,0,2,0,0
New-Caledonia,290580,Oceania,60749,206,60231,312,9
Bhutan,787339,Asia,59530,262,59247,21,2
Mauritania,4875840,Africa,58778,91,57705,982,0
Belize,410990,North-America,57729,321,56732,676,6
Cabo-Verde,567168,Africa,56080,92,55587,401,23
Gabon,2322936,Africa,47608,7,47297,304,0
Seychelles,99474,Africa,42841,452,42223,166,0
Cura&ccedil;ao,165335,North-America,42567,387,41905,275,3
Mauritius,1275675,Africa,37809,677,36136,996,0
Mayotte,284998,Africa,37363,34212,2964,187,0
Guinea,13792024,Africa,36459,43,35976,440,8
Aruba,107605,North-America,35189,203,34774,212,0
Faeroe-Islands,49207,Europe,34658,26937,7693,28,5
Isle-of-Man,85866,Europe,28416,1535,26794,87,0
Benin,12710859,Africa,26952,1283,25506,163,5
Andorra,77494,Europe,41717,543,41021,153,14
Saint-Lucia,185181,North-America,23798,344,23086,368,1
Timor-Leste,1364929,Asia,22886,26,22730,130,0
Cayman-Islands,67151,North-America,22828,14248,8553,27,1
Solomon-Islands,718059,Oceania,18174,1671,16357,146,2
Liechtenstein,38331,Europe,17292,68,17140,84,0
Lesotho,2173646,Africa,32910,8058,24155,697,0
Equatorial-Guinea,1488272,Africa,15910,26,15701,183,5
Grenada,113488,North-America,15818,1049,14549,220,4
Djibouti,1014599,Africa,15631,15,15427,189,0
CAR,4985217,Africa,14649,7677,6859,113,2
Bermuda,61852,North-America,13832,412,13289,131,0
Burkina-Faso,21962437,Africa,20853,32,20439,382,0
Monaco,39757,Europe,11972,102,11816,54,4
Tajikistan,9933559,Asia,17388,0,17264,124,0
Samoa,200855,Oceania,10926,9299,1605,22,4
Nicaragua,6769616,North-America,18491,14041,4225,225,0
Tonga,107913,Oceania,10826,1110,9705,11,0
Gibraltar,33672,Europe,17996,1315,16579,102,0
Saint-Martin,39887,North-America,10537,9075,1399,63,7
Sint-Maarten,43777,North-America,10123,52,9985,86,10
Dominica,72317,North-America,12493,282,12148,63,0
Guinea-Bissau,2054089,Africa,8215,39,8005,171,6
Comoros,903888,Africa,8100,7,7933,160,0
Vanuatu,320429,Oceania,8056,406,7636,14,0
Antigua-and-Barbuda,99430,North-America,7663,55,7471,137,1
British-Virgin-Islands,30604,North-America,6467,0,0,62,1
Turks-and-Caicos,39687,North-America,5995,41,5918,36,4
Sao-Tome-and-Principe,226693,Africa,5970,6,5891,73,0
Saint-Kitts-and-Nevis,53896,North-America,5595,20,5532,43,0
Cook-Islands,17594,Oceania,5336,120,5215,1,0
St-Vincent-Grenadines,111591,North-America,6792,45,6641,106,0
Palau,18254,Oceania,4782,689,4087,6,1
Kiribati,122842,Oceania,3093,478,2602,13,3
Anguilla,15251,North-America,2984,59,2916,9,4
Wallis-and-Futuna,10875,Oceania,454,9,438,7,0
San-Marino,34063,Europe,16743,256,16372,115,4
Liberia,5274440,Africa,7434,1393,5747,294,2
Togo,8637308,Africa,37009,20,36716,273,0
Gambia,2542122,Africa,11996,40,11591,365,0
Niger,25825428,Africa,9005,128,8568,309,1
Papua-New-Guinea,9260750,Oceania,43839,19,43169,651,7
Bahamas,400201,North-America,33779,555,32426,798,0
Haiti,11659882,North-America,30707,269,29603,835,0
Caribbean-Netherlands,26674,North-America,9902,51,9816,35,0
Somalia,16713779,Africa,26499,11967,13182,1350,0
Eritrea,3637158,Africa,9738,4,9631,103,0
Montserrat,4998,North-America,653,338,313,2,0
Chad,17296795,Africa,7414,2347,4874,193,0
Syria,18287483,Asia,55863,353,52360,3150,0
Mali,21328612,Africa,30950,179,30038,733,0
Micronesia,117222,Oceania,7,6,1,0,0
Sierra-Leone,8275032,Africa,7682,0,0,125,0
China,1439323776,Asia,220721,7568,207955,5198,484
Vatican-City,805,Europe,29,0,29,0,0
South-Sudan,11436344,Africa,17513,3861,13514,138,1
Diamond-Princess,,,712,0,699,13,0
Nauru,10950,Oceania,7,3,4,0,0
MS-Zaandam,,,9,0,7,2,0
Saint-Pierre-Miquelon,5742,North-America,2739,289,2449,1,1
Macao,664755,Asia,82,0,82,0,0
Yemen,31027427,Asia,11819,661,9009,2149,23
Burundi,12545140,Africa,40845,40034,773,38,0
Western-Sahara,623634,Africa,10,0,9,1,0
Congo,5768344,Africa,24079,3516,20178,385,0
Azerbaijan,10308385,Asia,792638,60,782869,9709,0
Saudi-Arabia,35817593,Asia,756549,4663,742782,9104,49
Sri-Lanka,21579484,Asia,663597,939,646149,16509,0
Paraguay,7294748,South-America,649718,6173,624673,18872,2
Finland,5556632,Europe,1052767,1002617,46000,4150,21
Kuwait,4387496,Asia,631898,397,628946,2555,1
Myanmar,55085153,Asia,613066,1645,591987,19434,0
Palestine,5320903,Asia,582119,82,576684,5353,17
Dominican-Republic,11049322,North-America,580020,469,575175,4376,1
Bahrain,1811009,Asia,574401,5181,567743,1477,3
Estonia,1328187,Europe,573922,56530,514836,2556,3
Moldova,4016606,Europe,516986,1355,504142,11489,49
Libya,7044279,Africa,501904,4501,490973,6430,101
Cyprus,1223632,Asia,477711,352309,124370,1032,60
Bangladesh,167722764,Asia,1952855,25930,1897798,29127,1273
Mongolia,3376023,Asia,469885,154450,313256,2179,192
Honduras,10196236,North-America,424376,281122,132358,10896,105
R&eacute;union,907142,Africa,405980,9788,395430,762,10
Belarus,9443577,Europe,982867,47353,928536,6978,0
Oman,5346986,Asia,389325,550,384516,4259,3
Bosnia-and-Herzegovina,3243045,Europe,377385,169394,192218,15773,0
Zambia,19336732,Africa,320226,474,315769,3983,1
Albania,2871980,Europe,275416,209,271710,3497,2
Algeria,45316852,Africa,265804,80563,178366,6875,6
Nigeria,215595417,Africa,255802,2723,249936,3143,11
Zimbabwe,15263483,Africa,248642,963,242198,5481,12
Luxembourg,644831,Europe,242194,9305,231818,1071,2
Mozambique,32875919,Africa,225440,59,223180,2201,13
Kyrgyzstan,6723460,Asia,200993,1596,196406,2991,131
Iceland,345343,Europe,185961,110157,75685,119,0
Armenia,2973482,Asia,422896,2225,412048,8623,0
Maldives,558168,Asia,179483,15498,163687,298,25
Martinique,374726,North-America,153253,152223,104,926,8
Trinidad-and-Tobago,1407879,North-America,152380,8817,139702,3861,18
Guadeloupe,400251,North-America,140130,137026,2250,854,19
Jamaica,2985097,North-America,131327,43833,84514,2980,0
Rwanda,13546436,Africa,129858,82877,45522,1459,0
Cameroon,27768809,Africa,119780,62,117791,1927,13
Malta,443720,Europe,93041,3055,89273,713,4
Senegal,17560510,Africa,86019,13,84040,1966,0
French-Guiana,313010,South-America,80859,69210,11254,395,2
Channel-Islands,176830,Europe,75075,624,74278,173,0
Barbados,288026,North-America,74454,4405,69619,430,0
French-Polynesia,283915,Oceania,72786,0,0,648,7
Eswatini,1182405,Africa,71341,580,69359,1402,11
Fiji,908472,Oceania,64725,1010,62853,862,0
Madagascar,29008486,Africa,64236,3473,59370,1393,14
Guyana,793579,South-America,63586,129,62229,1228,0
North-Macedonia,2083216,Europe,310413,594,300532,9287,0
Montenegro,628213,Europe,235945,664,232564,2717,6
Egypt,105896697,Africa,515645,48850,442182,24613,122
Ethiopia,120226091,Africa,470798,7545,455743,7510,3
Uganda,48406028,Africa,164069,60268,100205,3596,2
El-Salvador,6546801,North-America,162089,7298,150662,4129,8
Ghana,32273514,Africa,161271,52,159774,1445,1
Namibia,2626087,Africa,159311,1621,153662,4028,0
Suriname,596364,South-America,80008,29216,49455,1337,0
Angola,34752438,Africa,99194,145,97149,1900,0
Kenya,55960335,Africa,323921,175,318097,5649,0
Costa-Rica,5180245,North-America,866164,16037,841683,8444,48
Malawi,20043436,Africa,85825,1108,82082,2635,67
Iraq,41893091,Asia,2325871,1205,2299451,25215,11
Botswana,2439517,Africa,306324,608,303026,2690,1
Chile,19420021,South-America,3583227,71207,3454378,57642,167
Denmark,5829968,Europe,2973651,11413,2955986,6252,6
Sudan,45741355,Africa,62161,0,0,4936,0
Sweden,10215862,Europe,2503090,9028,2475271,18791,16
New-Zealand,5002100,Oceania,1013721,52482,960384,855,0
Pakistan,228831837,Asia,1528897,4380,1494141,30376,98
Ivory-Coast,27585396,Africa,81977,14,81164,799,0
Kazakhstan,19192533,Asia,1305607,570,1291376,13661,24
Venezuela,28286786,South-America,522800,1131,515960,5709,230
Cambodia,17147338,Asia,136262,22,133184,3056,0
Bolivia,11967814,South-America,905655,21044,862685,21926,220
Uzbekistan,34367212,Asia,238747,248,236862,1637,23
Laos,7471015,Asia,208969,200557,7660,752,0
Czechia,10745764,Europe,3914113,7126,3866754,40233,14
Taiwan,23896586,Asia,505455,465250,39254,951,0
DRC,94540061,Africa,87023,34756,50930,1337,0
Hungary,9614940,Europe,1909948,42170,1821435,46343,29
Lithuania,2652000,Europe,1060058,19962,1030973,9123,9
Slovakia,5464538,Europe,1785978,7999,1757977,20002,33
Afghanistan,40551031,Asia,179131,9368,162077,7686,1124
Latvia,1847604,Europe,825272,4154,815324,5794,9
Qatar,2807805,Asia,365657,921,364059,677,2
Romania,19000146,Europe,2901080,228831,2606660,65589,144
Croatia,4058405,Europe,1129199,4758,1108536,15905,17
UAE,10111644,Asia,901076,13739,885035,2302,0
Ireland,5039907,Europe,1524555,31489,1485903,7163,30
Slovenia,2079467,Europe,1017676,10062,1000998,6616,19
Portugal,10141670,Europe,3935932,0,0,22420,61
Nepal,30106914,Asia,978978,187,966839,11952,0
South-Africa,60693120,Africa,3852148,66393,3685196,100559,192
Brunei,445235,Asia,143616,1336,142061,219,2
Canada,38354852,North-America,3799360,269939,3489567,39854,423
Philippines,112281327,Asia,3687320,3638,3623243,60439,289
Switzerland,8771809,Europe,3631881,87566,3530433,13882,78
Peru,33822189,South-America,3570339,0,0,212968,254
Greece,10328809,Europe,3371051,61062,3280545,29444,196
Serbia,8672221,Europe,2010961,10441,1984483,16037,16
Jordan,10390674,Asia,1694216,1227,1678941,14048,124
Georgia,3974991,Asia,1655221,1117,1637293,16811,0
Norway,5499729,Europe,1428699,0,0,3006,20
Singapore,5935532,Asia,1225024,70183,1153485,1356,6
Hong-Kong,7609596,Asia,1207091,0,0,9352,5
Morocco,37720557,Africa,1165366,381,1148914,16071,293
Bulgaria,6851628,Europe,1160347,128321,995019,37007,72
Cuba,11313817,North-America,1104110,570,1095012,8528,23
Lebanon,6768864,Asia,1097643,2971,1084270,10402,186
Tunisia,12047586,Africa,1041197,0,0,28575,29
Uruguay,3496020,South-America,899723,3956,888557,7210,18
Ecuador,18139033,South-America,871046,0,0,35602,759
Guatemala,18529043,North-America,850255,2150,830386,17719,5
Panama,4440510,North-America,793137,16104,768839,8194,16
Israel,9326000,Asia,4097845,34491,4052605,10749,150
Spain,46788257,Europe,12058888,431401,11522364,105123,339
North-America,,North-America,99148694,3066410,94617087,1465197,7264
USA,334596450,North-America,83778760,1694563,81059093,1025104,1745
Africa,,Africa,12001438,562584,11184772,254082,962
France,65540928,Europe,29021224,1049214,27825031,146979,1364
S-Korea,51350875,Asia,17658794,0,0,23491,383
Netherlands,17205067,Europe,8063029,74116,7966632,22281,55
Thailand,70124258,Asia,4345218,78271,4237692,29255,1496
Belgium,11683011,Europe,4102082,166791,3903711,31580,122
Germany,84279960,Europe,25490156,1676234,23676700,137222,1279
Japan,125759701,Asia,8172238,328288,7814056,29894,163
India,1405124872,Asia,43110586,19494,42566935,524157,698
South-America,,South-America,57016510,2582585,53138055,1295870,10684
Oceania,,Oceania,7709417,507146,7191107,11164,147
Australia,26047667,Oceania,6391910,400996,5983298,7616,114
Russia,146050315,Europe,18241329,244667,17619414,377248,2300
Austria,9101545,Europe,4195691,64419,4112993,18279,78
Brazil,215357015,South-America,30594388,248825,29681120,664443,8318
UK,68546277,Europe,22144628,378217,21589987,176424,253
Italy,60297233,Europe,16872618,1082972,15624915,164731,358
Poland,37769871,Europe,6001893,550725,5335004,116164,1125
Turkey,86019338,Asia,15046779,3525,14944393,98861,975
Argentina,45963646,South-America,9101319,76591,8895999,128729,372
Iran,85983346,Asia,7226219,74329,7010698,141192,836
Colombia,51887026,South-America,6093645,26760,5927076,139809,342
Indonesia,278878726,Asia,6049141,5855,5886870,156416,2771
Mexico,131440812,North-America,5745652,376294,5044893,324465,4798
Europe,,Europe,193372284,11029818,180515233,1827233,8333
Ukraine,43247409,Europe,5006460,0,0,108449,177
Malaysia,33133752,Asia,4463740,22953,4405197,35590,67
Vietnam,98960160,Asia,10683972,1313389,9327523,43060,365
Asia,,Asia,149335018,21082195,126825844,1426979,12061
All,,All,518584082,38830738,473472804,6280540,39451
MS-Zaandam-,,,9,7,0,2,0
Diamond-Princess-,,,712,82,619,11,10
US-Virgin-Islands,,,17,17,0,0,0
Puerto-Rico,,,39,36,1,2,0
Guam,,,32,31,0,1,0
